File,Rule-based,NLP-based,Match
CVE-2019-1880.json,E (Enterprise),SCADA,DIFFER
CVE-2022-38625.json,Unknown,SCADA,DIFFER
CVE-2022-25291.json,Unknown,SCADA,DIFFER
CVE-2021-28191.json,H (Home),SCADA,DIFFER
CVE-2020-10831.json,M (Mobile),Mobile,MATCH
CVE-2021-33090.json,Unknown,SCADA,DIFFER
CVE-2021-46442.json,H (Home),SCADA,DIFFER
CVE-2019-7229.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2023-35749.json,H (Home),SCADA,DIFFER
CVE-2017-9316.json,P (PC/Server),SCADA,DIFFER
CVE-2019-16243.json,M (Mobile),SCADA,DIFFER
CVE-2023-35747.json,H (Home),SCADA,DIFFER
CVE-2016-9369.json,E (Enterprise),SCADA,DIFFER
CVE-2018-7240.json,Unknown,SCADA,DIFFER
CVE-2018-6442.json,Unknown,SCADA,DIFFER
CVE-2017-2883.json,E (Enterprise),Mobile,DIFFER
CVE-2018-18600.json,Unknown,SCADA,DIFFER
CVE-2020-27692.json,E (Enterprise),SCADA,DIFFER
CVE-2023-32658.json,Unknown,SCADA,DIFFER
CVE-2022-26510.json,H (Home),SCADA,DIFFER
CVE-2021-20156.json,E (Enterprise),SCADA,DIFFER
CVE-2019-5159.json,Unknown,SCADA,DIFFER
CVE-2022-3093.json,S (SCADA/Industrial),Mobile,DIFFER
CVE-2021-27251.json,E (Enterprise),SCADA,DIFFER
CVE-2022-25293.json,Unknown,SCADA,DIFFER
CVE-2020-35782.json,Unknown,SCADA,DIFFER
CVE-2023-23772.json,Unknown,SCADA,DIFFER
CVE-2022-0910.json,E (Enterprise),SCADA,DIFFER
CVE-2017-2882.json,E (Enterprise),Mobile,DIFFER
CVE-2018-8855.json,H (Home),SCADA,DIFFER
CVE-2020-24525.json,Unknown,SCADA,DIFFER
CVE-2016-5645.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2017-2898.json,E (Enterprise),Mobile,DIFFER
CVE-2023-27964.json,M (Mobile),Mobile,MATCH
CVE-2023-5347.json,Unknown,SCADA,DIFFER
CVE-2021-37160.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2020-8144.json,E (Enterprise),SCADA,DIFFER
CVE-2023-35748.json,H (Home),SCADA,DIFFER
CVE-2020-27689.json,Unknown,SCADA,DIFFER
CVE-2018-3834.json,E (Enterprise),SCADA,DIFFER
CVE-2019-6843.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2021-25437.json,M (Mobile),SCADA,DIFFER
CVE-2019-15310.json,Unknown,SCADA,DIFFER
CVE-2018-9232.json,Unknown,SCADA,DIFFER
CVE-2019-6171.json,M (Mobile),SCADA,DIFFER
CVE-2019-6847.json,Unknown,SCADA,DIFFER
CVE-2023-4929.json,Unknown,SCADA,DIFFER
CVE-2018-6294.json,H (Home),SCADA,DIFFER
CVE-2023-43849.json,Unknown,SCADA,DIFFER
CVE-2022-4569.json,Unknown,Mobile,DIFFER
CVE-2023-42143.json,Unknown,SCADA,DIFFER
CVE-2018-18203.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2022-46422.json,Unknown,SCADA,DIFFER
CVE-2020-5324.json,Unknown,SCADA,DIFFER
CVE-2022-3007.json,H (Home),SCADA,DIFFER
CVE-2019-9126.json,H (Home),SCADA,DIFFER
CVE-2018-11422.json,Unknown,SCADA,DIFFER
CVE-2017-11003.json,M (Mobile),Mobile,MATCH
CVE-2019-5157.json,Unknown,SCADA,DIFFER
CVE-2019-16732.json,Unknown,SCADA,DIFFER
CVE-2018-7113.json,E (Enterprise),SCADA,DIFFER
CVE-2023-47166.json,E (Enterprise),Mobile,DIFFER
CVE-2023-28337.json,H (Home),SCADA,DIFFER
CVE-2017-9860.json,E (Enterprise),SCADA,DIFFER
CVE-2021-43984.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2018-3920.json,H (Home),SCADA,DIFFER
CVE-2022-31481.json,Unknown,SCADA,DIFFER
CVE-2018-3833.json,E (Enterprise),SCADA,DIFFER
CVE-2019-14707.json,H (Home),SCADA,DIFFER
CVE-2018-14903.json,A (Other Non-Home Appliances),SCADA,DIFFER
CVE-2020-27488.json,E (Enterprise),Mobile,DIFFER
CVE-2019-10940.json,E (Enterprise),SCADA,DIFFER
CVE-2020-25233.json,Unknown,Mobile,DIFFER
CVE-2022-27229.json,Unknown,SCADA,DIFFER
CVE-2023-30559.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2017-17668.json,Unknown,SCADA,DIFFER
CVE-2019-12288.json,E (Enterprise),SCADA,DIFFER
CVE-2022-46434.json,Unknown,SCADA,DIFFER
CVE-2022-22374.json,Unknown,SCADA,DIFFER
CVE-2021-37127.json,P (PC/Server),SCADA,DIFFER
CVE-2018-3832.json,E (Enterprise),SCADA,DIFFER
CVE-2018-3891.json,H (Home),SCADA,DIFFER
CVE-2020-27540.json,H (Home),SCADA,DIFFER
CVE-2020-10926.json,H (Home),SCADA,DIFFER
CVE-2020-25166.json,Unknown,SCADA,DIFFER
CVE-2018-7298.json,H (Home),SCADA,DIFFER
CVE-2022-38956.json,Unknown,SCADA,DIFFER
CVE-2017-2865.json,E (Enterprise),Mobile,DIFFER
CVE-2018-12167.json,Unknown,SCADA,DIFFER
CVE-2023-51073.json,Unknown,PC,DIFFER
CVE-2020-14140.json,H (Home),Home,MATCH
CVE-2022-46912.json,Unknown,SCADA,DIFFER
CVE-2022-26024.json,Unknown,SCADA,DIFFER
CVE-2022-28371.json,H (Home),Home,MATCH
CVE-2022-46435.json,Unknown,SCADA,DIFFER
CVE-2022-46139.json,Unknown,Mobile,DIFFER
CVE-2023-38921.json,E (Enterprise),Mobile,DIFFER
CVE-2022-2503.json,E (Enterprise),SCADA,DIFFER
CVE-2020-26122.json,E (Enterprise),SCADA,DIFFER
CVE-2023-35746.json,H (Home),SCADA,DIFFER
CVE-2021-27428.json,Unknown,SCADA,DIFFER
CVE-2019-11103.json,Unknown,SCADA,DIFFER
CVE-2019-16731.json,E (Enterprise),SCADA,DIFFER
CVE-2022-34845.json,E (Enterprise),SCADA,DIFFER
CVE-2022-30316.json,Unknown,SCADA,DIFFER
CVE-2022-46430.json,Unknown,Mobile,DIFFER
CVE-2019-10706.json,Unknown,SCADA,DIFFER
CVE-2022-46428.json,Unknown,Mobile,DIFFER
CVE-2023-7017.json,Unknown,SCADA,DIFFER
CVE-2021-36226.json,Unknown,Mobile,DIFFER
CVE-2022-40971.json,Unknown,SCADA,DIFFER
CVE-2016-10319.json,Unknown,SCADA,DIFFER
CVE-2019-5156.json,Unknown,SCADA,DIFFER
CVE-2023-31190.json,P (PC/Server),Mobile,DIFFER
CVE-2022-46914.json,Unknown,SCADA,DIFFER
CVE-2022-29957.json,Unknown,SCADA,DIFFER
CVE-2022-28372.json,H (Home),Mobile,DIFFER
CVE-2019-5155.json,Unknown,SCADA,DIFFER
CVE-2017-16786.json,P (PC/Server),SCADA,DIFFER
CVE-2023-34435.json,E (Enterprise),SCADA,DIFFER
CVE-2022-34436.json,Unknown,SCADA,DIFFER
CVE-2018-5402.json,E (Enterprise),SCADA,DIFFER
CVE-2023-32156.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2021-41870.json,Unknown,SCADA,DIFFER
CVE-2018-16089.json,Unknown,SCADA,DIFFER
CVE-2019-6844.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2020-24395.json,H (Home),SCADA,DIFFER
CVE-2021-25436.json,M (Mobile),SCADA,DIFFER
CVE-2022-25130.json,H (Home),SCADA,DIFFER
CVE-2018-3890.json,H (Home),SCADA,DIFFER
CVE-2021-35951.json,Unknown,SCADA,DIFFER
CVE-2023-33217.json,Unknown,SCADA,DIFFER
CVE-2018-1170.json,E (Enterprise),Mobile,DIFFER
CVE-2023-23120.json,H (Home),SCADA,DIFFER
CVE-2022-46910.json,Unknown,SCADA,DIFFER
CVE-2018-5717.json,Unknown,SCADA,DIFFER
CVE-2018-10988.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2021-0096.json,Unknown,SCADA,DIFFER
CVE-2020-5357.json,M (Mobile),Mobile,MATCH
CVE-2021-22673.json,E (Enterprise),SCADA,DIFFER
CVE-2018-17915.json,E (Enterprise),Mobile,DIFFER
CVE-2017-9457.json,M (Mobile),PC,DIFFER
CVE-2018-15480.json,E (Enterprise),SCADA,DIFFER
CVE-2021-33089.json,Unknown,SCADA,DIFFER
CVE-2021-3793.json,H (Home),SCADA,DIFFER
CVE-2022-28370.json,H (Home),Mobile,DIFFER
CVE-2017-11082.json,M (Mobile),Mobile,MATCH
CVE-2020-24215.json,H (Home),SCADA,DIFFER
CVE-2018-8860.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2019-10959.json,Unknown,SCADA,DIFFER
CVE-2020-28332.json,Unknown,SCADA,DIFFER
CVE-2023-33768.json,H (Home),SCADA,DIFFER
CVE-2021-40413.json,E (Enterprise),SCADA,DIFFER
CVE-2016-6567.json,S (SCADA/Industrial),PC,DIFFER
CVE-2020-14096.json,Unknown,Mobile,DIFFER
CVE-2017-2884.json,E (Enterprise),Mobile,DIFFER
CVE-2018-4028.json,E (Enterprise),SCADA,DIFFER
CVE-2018-21131.json,Unknown,SCADA,DIFFER
CVE-2018-3934.json,H (Home),SCADA,DIFFER
CVE-2019-9681.json,P (PC/Server),SCADA,DIFFER
CVE-2017-3198.json,Unknown,SCADA,DIFFER
CVE-2022-48194.json,Unknown,SCADA,DIFFER
CVE-2018-9322.json,S (SCADA/Industrial),Mobile,DIFFER
CVE-2020-12042.json,Unknown,SCADA,DIFFER
CVE-2020-29438.json,S (SCADA/Industrial),Mobile,DIFFER
CVE-2017-14445.json,E (Enterprise),SCADA,DIFFER
CVE-2020-7135.json,E (Enterprise),Mobile,DIFFER
CVE-2021-40419.json,E (Enterprise),SCADA,DIFFER
CVE-2021-22675.json,Unknown,SCADA,DIFFER
CVE-2023-27389.json,Unknown,SCADA,DIFFER
CVE-2019-6841.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2019-5160.json,Unknown,SCADA,DIFFER
CVE-2022-36385.json,Unknown,SCADA,DIFFER
CVE-2023-32660.json,Unknown,SCADA,DIFFER
CVE-2022-30262.json,Unknown,SCADA,DIFFER
CVE-2023-1083.json,Unknown,SCADA,DIFFER
CVE-2017-7450.json,Unknown,SCADA,DIFFER
CVE-2017-2872.json,H (Home),SCADA,DIFFER
CVE-2018-3969.json,H (Home),SCADA,DIFFER
CVE-2023-28610.json,Unknown,SCADA,DIFFER
CVE-2018-4838.json,Unknown,SCADA,DIFFER
CVE-2021-43619.json,P (PC/Server),SCADA,DIFFER
CVE-2022-48769.json,P (PC/Server),Mobile,DIFFER
CVE-2018-4018.json,E (Enterprise),SCADA,DIFFER
CVE-2023-28386.json,Unknown,Mobile,DIFFER
CVE-2018-3892.json,H (Home),SCADA,DIFFER
CVE-2021-0462.json,M (Mobile),Mobile,MATCH
CVE-2019-17584.json,Unknown,SCADA,DIFFER
CVE-2020-15498.json,H (Home),SCADA,DIFFER
CVE-2022-30272.json,Unknown,SCADA,DIFFER
CVE-2019-12289.json,Unknown,SCADA,DIFFER
CVE-2023-23119.json,Unknown,SCADA,DIFFER
CVE-2020-27252.json,H (Home),Mobile,DIFFER
CVE-2022-21162.json,Unknown,SCADA,DIFFER
CVE-2022-34435.json,Unknown,SCADA,DIFFER
CVE-2017-16311.json,Unknown,SCADA,DIFFER
CVE-2017-14444.json,E (Enterprise),SCADA,DIFFER
CVE-2020-35801.json,E (Enterprise),SCADA,DIFFER
CVE-2019-20501.json,H (Home),SCADA,DIFFER
CVE-2017-2881.json,E (Enterprise),Mobile,DIFFER
CVE-2018-12258.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2022-21134.json,Unknown,SCADA,DIFFER
CVE-2018-12635.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2023-22841.json,E (Enterprise),SCADA,DIFFER
CVE-2019-6842.json,S (SCADA/Industrial),SCADA,MATCH
CVE-2018-5441.json,Unknown,SCADA,DIFFER
CVE-2021-32514.json,Unknown,SCADA,DIFFER
CVE-2017-12306.json,E (Enterprise),SCADA,DIFFER
CVE-2019-1736.json,E (Enterprise),SCADA,DIFFER
CVE-2017-14869.json,M (Mobile),Mobile,MATCH
CVE-2018-15476.json,E (Enterprise),SCADA,DIFFER
CVE-2022-25292.json,Unknown,SCADA,DIFFER
CVE-2021-22909.json,H (Home),SCADA,DIFFER
CVE-2023-23773.json,Unknown,SCADA,DIFFER
CVE-2020-12046.json,Unknown,SCADA,DIFFER
CVE-2019-5158.json,Unknown,SCADA,DIFFER
CVE-2023-30356.json,H (Home),SCADA,DIFFER
CVE-2017-8078.json,Unknown,SCADA,DIFFER
CVE-2020-29379.json,Unknown,SCADA,DIFFER
CVE-2020-29664.json,Unknown,SCADA,DIFFER
CVE-2020-10612.json,E (Enterprise),SCADA,DIFFER
CVE-2017-8862.json,Unknown,SCADA,DIFFER
CVE-2018-3928.json,H (Home),SCADA,DIFFER
CVE-2018-12257.json,E (Enterprise),SCADA,DIFFER
CVE-2020-8168.json,Unknown,SCADA,DIFFER
CVE-2022-36360.json,Unknown,SCADA,DIFFER
CVE-2023-22600.json,H (Home),SCADA,DIFFER
CVE-2018-3926.json,H (Home),SCADA,DIFFER
CVE-2018-20575.json,Unknown,Mobile,DIFFER
CVE-2022-30997.json,Unknown,SCADA,DIFFER
CVE-2021-3789.json,H (Home),SCADA,DIFFER
CVE-2017-11400.json,Unknown,SCADA,DIFFER
CVE-2023-4041.json,Unknown,SCADA,DIFFER
CVE-2023-5984.json,Unknown,SCADA,DIFFER
CVE-2019-14926.json,Unknown,SCADA,DIFFER
CVE-2020-10927.json,H (Home),SCADA,DIFFER
